Tag,Year,Number of Posts
"angularjs","2009","1"
"angularjs","2011","12"
"angularjs","2012","1520"
"angularjs","2013","18009"
"angularjs","2014","46169"
"angularjs","2015","68167"
"angularjs","2016","68067"
"angularjs","2017","42297"
"angularjs","2018","6762"
"d3.js","2011","53"
"d3.js","2012","1343"
"d3.js","2013","4153"
"d3.js","2014","5418"
"d3.js","2015","5591"
"d3.js","2016","6048"
"d3.js","2017","5552"
"d3.js","2018","1492"
"django","2008","299"
"django","2009","3907"
"django","2010","8403"
"django","2011","12908"
"django","2012","16521"
"django","2013","20556"
"django","2014","21171"
"django","2015","22926"
"django","2016","23412"
"django","2017","28504"
"django","2018","9027"
"elasticsearch","2010","3"
"elasticsearch","2011","98"
"elasticsearch","2012","721"
"elasticsearch","2013","1821"
"elasticsearch","2014","3912"
"elasticsearch","2015","6459"
"elasticsearch","2016","7528"
"elasticsearch","2017","8611"
"elasticsearch","2018","2413"
"flash","2008","459"
"flash","2009","3105"
"flash","2010","5333"
"flash","2011","7040"
"flash","2012","5890"
"flash","2013","4783"
"flash","2014","3784"
"flash","2015","2409"
"flash","2016","1348"
"flash","2017","961"
"flash","2018","173"
"flask","2010","39"
"flask","2011","220"
"flask","2012","862"
"flask","2013","1988"
"flask","2014","2857"
"flask","2015","3961"
"flask","2016","4016"
"flask","2017","5260"
"flask","2018","1859"
"jquery","2008","949"
"jquery","2009","14485"
"jquery","2010","39337"
"jquery","2011","80344"
"jquery","2012","114655"
"jquery","2013","147348"
"jquery","2014","144535"
"jquery","2015","129051"
"jquery","2016","112576"
"jquery","2017","100477"
"jquery","2018","22487"
"material-design","2012","1"
"material-design","2013","1"
"material-design","2014","432"
"material-design","2015","1807"
"material-design","2016","1413"
"material-design","2017","1198"
"material-design","2018","340"
"mongodb","2008","1"
"mongodb","2009","35"
"mongodb","2010","1035"
"mongodb","2011","3822"
"mongodb","2012","7414"
"mongodb","2013","10560"
"mongodb","2014","13298"
"mongodb","2015","16827"
"mongodb","2016","18453"
"mongodb","2017","19750"
"mongodb","2018","6321"
"mysql","2008","1154"
"mysql","2009","9350"
"mysql","2010","21505"
"mysql","2011","40844"
"mysql","2012","57129"
"mysql","2013","73309"
"mysql","2014","79059"
"mysql","2015","75296"
"mysql","2016","70735"
"mysql","2017","68083"
"mysql","2018","17694"
"neo4j","2009","6"
"neo4j","2010","35"
"neo4j","2011","187"
"neo4j","2012","607"
"neo4j","2013","2203"
"neo4j","2014","3000"
"neo4j","2015","3061"
"neo4j","2016","2770"
"neo4j","2017","2786"
"neo4j","2018","850"
"node.js","2008","1"
"node.js","2009","10"
"node.js","2010","498"
"node.js","2011","4374"
"node.js","2012","10318"
"node.js","2013","18051"
"node.js","2014","27789"
"node.js","2015","37296"
"node.js","2016","46801"
"node.js","2017","58087"
"node.js","2018","18110"
"php","2008","2257"
"php","2009","20483"
"php","2010","51809"
"php","2011","96788"
"php","2012","133032"
"php","2013","169468"
"php","2014","180806"
"php","2015","173300"
"php","2016","163917"
"php","2017","154843"
"php","2018","40223"
"postgresql","2008","178"
"postgresql","2009","1013"
"postgresql","2010","2248"
"postgresql","2011","3926"
"postgresql","2012","6090"
"postgresql","2013","8516"
"postgresql","2014","11238"
"postgresql","2015","13134"
"postgresql","2016","14879"
"postgresql","2017","16926"
"postgresql","2018","4966"
"reactjs","2013","48"
"reactjs","2014","1016"
"reactjs","2015","7108"
"reactjs","2016","20074"
"reactjs","2017","37341"
"reactjs","2018","13870"
"redux","2015","378"
"redux","2016","4024"
"redux","2017","6364"
"redux","2018","1941"
"sqlite","2008","122"
"sqlite","2009","1076"
"sqlite","2010","2569"
"sqlite","2011","5491"
"sqlite","2012","7576"
"sqlite","2013","8529"
"sqlite","2014","8944"
"sqlite","2015","8462"
"sqlite","2016","8156"
"sqlite","2017","7684"
"sqlite","2018","1997"
"twitter-bootstrap","2009","1"
"twitter-bootstrap","2010","3"
"twitter-bootstrap","2011","148"
"twitter-bootstrap","2012","4476"
"twitter-bootstrap","2013","12111"
"twitter-bootstrap","2014","16856"
"twitter-bootstrap","2015","20205"
"twitter-bootstrap","2016","18166"
"twitter-bootstrap","2017","15555"
"twitter-bootstrap","2018","3143"
"vue.js","2014","18"
"vue.js","2015","382"
"vue.js","2016","2633"
"vue.js","2017","9158"
"vue.js","2018","3902"
